Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Papa's All Meat (Baking Required),Signature Pizza (Baking Required),None,None,"Our Original Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Canadian Bacon, Salami, Premium Pepperoni, Italian Sausage and Ground Beef, and Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Rancher,Signature Pizza (Baking Required),None,None,"Our Original Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Canadian Bacon, Premium Pepperoni, Ground Beef, Mixed Onions, and Cheddar.",Dairy,Contains,uber_eats
Chicken Bacon Artichoke (Baking Required),Gourmet Delite Pizza (Baking Required),None,None,"Our Artisan Thin Crust, topped with Creamy Garlic Sauce, Whole-Milk Mozzarella, Grilled Chicken Raised Without Antibiotics, Crispy Bacon, Marinated Artichoke Hearts, Fresh Spinach, Aged Parmesan and Zesty Herbs. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.","Dairy, Garlic",Contains,uber_eats
Herb Chicken Mediterranean (Baking Required),Gourmet Delite Pizza (Baking Required),None,None,"Our Artisan Thin Crust, topped with Olive Oil, Chopped Garlic, Whole-Milk Mozzarella, Grilled Chicken Raised Without Antibiotics, Fresh Spinach, Sun-dried Tomatoes, Crumbled Feta and Zesty Herbs. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.","Dairy, Garlic",Contains,uber_eats
Gourmet Vegetarian (Baking Required),Gourmet Delite Pizza (Baking Required),None,None,"Our Artisan Thin Crust, topped with Creamy Garlic Sauce, Whole-Milk Mozzarella, Fresh Spinach, Sliced Zucchini, Sliced Mushrooms, Marinated Artichoke Hearts, Roma Tomatoes, Mixed Onions, Cheddar, and Herb &amp; Cheese Blend. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.","Dairy, Garlic",Contains,uber_eats
Thai Chicken(Baking Required),Gourmet Delite Pizza (Baking Required),None,None,"Our Artisan Thin Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Fresh Spinach, Black Olives, Roma Tomatoes, Feta Cheese, and Zesty Herbs. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Tuscan Chicken and Sausage ( Baking Required),Gourmet Delite Pizza (Baking Required),None,None,"Our Artisan Thin Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Fresh Spinach, Black Olives, Roma Tomatoes, Feta Cheese, and Zesty Herbs. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
5-Meat Stuffed (Baking Required) Family,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Traditional Red Sauce, Whole-Milk Mozzarella, Canadian Bacon, Premium Pepperoni, Italian Sausage, Crispy Bacon and topped with Traditional Red Sauce, Ground Beef, Mozzarella and Mild Cheddar.",Dairy,Contains,uber_eats
5-Meat Stuffed (Baking Required) Large,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Traditional Red Sauce, Whole-Milk Mozzarella, Canadian Bacon, Premium Pepperoni, Italian Sausage, Crispy Bacon and topped with Traditional Red Sauce, Ground Beef, Mozzarella and Mild Cheddar.",Dairy,Contains,uber_eats
Chicago-Styled Stuffed (Baking Required) Family,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Traditional Red Sauce, Whole-Milk Mozzarella, Salami, Premium Pepperoni, Italian Sausage, Ground Beef, Mixed Onions and topped with Traditional Red Sauce, Green Onions, Roma Tomatoes, Mozzarella and Mild Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Chicago-Styled Stuffed (Baking Required) Large,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Traditional Red Sauce, Whole-Milk Mozzarella, Salami, Premium Pepperoni, Italian Sausage, Ground Beef, Mixed Onions and topped with Traditional Red Sauce, Green Onions, Roma Tomatoes, Mozzarella and Mild Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Big Murphy's Stuffed (Baking Required) Large,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Italian Sausage, Sliced Mushrooms and Black Olives topped with Traditional Red Sauce, Green Peppers, Roma Tomatoes, Mild Cheddar and Herb &amp; Cheese Blend. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Big Murphy's Stuffed (Baking Required) Family,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Italian Sausage, Sliced Mushrooms and Black Olives topped with Traditional Red Sauce, Green Peppers, Roma Tomatoes, Mild Cheddar and Herb &amp; Cheese Blend. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Chicken Bacon Stuffed (Baking Required) Large,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Creamy Garlic Sauce, Whole-Milk Mozzarella, Grilled Chicken Raised Without Antibiotics, Crispy Bacon, Roma Tomatoes, Mixed Onions and topped with Creamy Garlic Sauce, Roma Tomatoes, Crispy Bacon, Mozzarella and Mild Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.","Dairy, Garlic",Contains,uber_eats
Chicken Bacon Stuffed (Baking Required) Family,Stuffed Pizza (Baking Required),None,None,"Two layers of our Original Crust stuffed with Creamy Garlic Sauce, Whole-Milk Mozzarella, Grilled Chicken Raised Without Antibiotics, Crispy Bacon, Roma Tomatoes, Mixed Onions and topped with Creamy Garlic Sauce, Roma Tomatoes, Crispy Bacon, Mozzarella and Mild Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.","Dairy, Garlic",Contains,uber_eats
Scratch-Made 5-Cheese Bread (Baking Required),"Starters, Sides, Desserts and Beverages",None,None,"Fresh dough topped with our Herb Garlic Spread, ¼ pound of Whole-Milk Mozzarella, Herb &amp; Cheese Blend, and Mild Cheddar Cheese served with a side of Marinara.","Dairy, Garlic, Wheat",Contains,uber_eats
Cinnamon Wheel (Baking Required),"Starters, Sides, Desserts and Beverages",None,None,"Our Original Crust topped with Cinnamon Spread, Oatmeal Crisp Topping, served with Cream Cheese Frosting.",Dairy,Contains,uber_eats
Mini Murph Cheese,"Starters, Sides, Desserts and Beverages",None,None,Make 'n' Bake Pizza Kit with Red Sauce &amp; Mozzarella.,Dairy,Contains,uber_eats
Garden Salad,Salad,None,None,"Romaine lettuce topped with green peppers, Roma tomatoes, black olives, whole milk mozzarella, and mild cheddar cheeses.",Dairy,Contains,uber_eats
Caesar Salad,Salad,None,None,Romaine lettuce topped with shredded aged parmesan cheese.,Dairy,Contains,uber_eats
Club Salad,Salad,None,None,"Romaine lettuce topped with crispy bacon, Canadian bacon, Roma tomatoes, whole milk mozzarella, and mild cheddar cheese.",Dairy,Contains,uber_eats
Mediterranean  Salad,Salad,None,None,"Romaine lettuce and fresh spinach topped with black olives, sun dried tomatoes, mixed onions, and crumbled feta cheese.",Dairy,Contains,uber_eats
Bacon and Egg with Cheese Breakfast Sandwich,Picked for you,None,None,,"Dairy, Eggs, Wheat",Contains,uber_eats
Double Cheese Burger,Picked for you,None,None,Grilled or fried patty with cheese on a bun.,"Dairy, Wheat",Contains,uber_eats
1/2  Ham with 1 Egg,Breakfast,None,None,,Eggs,Contains,uber_eats
1/2  Bacon (2 pcs) with 1 Egg,Breakfast,None,None,2 pieces.,Eggs,Contains,uber_eats
1/2 Sausage (1 pc) with 1 Egg,Breakfast,None,None,1 piece.,Eggs,Contains,uber_eats
Full Salmon (2 pcs) with 2 Eggs,Breakfast,None,None,2 pieces.,Fish,Contains,uber_eats
1/2 Salmon (1 pc) with 1 Egg,Breakfast,None,None,1 piece.,"Eggs, Fish",Contains,uber_eats
1/2 Frank (1 pc) with 1 Egg,Breakfast,None,None,1 piece.,Eggs,Contains,uber_eats
Fish and  Grits,Breakfast,None,None,Porridge made from ground corn.,"Corn, Fish",Contains,uber_eats
Grits with 2 Eggs,Breakfast,None,None,Porridge made from ground corn.,Corn,Contains,uber_eats
Bowl of Grits,Breakfast,None,None,Porridge made from ground corn.,Corn,Contains,uber_eats
Sausage Breakfast Sandwich,Breakfast Sandwich,None,None,,Wheat,Contains,uber_eats
Sausage with Egg Breakfast Sandwich,Breakfast Sandwich,None,None,,"Eggs, Wheat",Contains,uber_eats
Sausage with Cheese Breakfast Sandwich,Breakfast Sandwich,None,None,,"Dairy, Wheat",Contains,uber_eats
"Ham, Egg with Cheese Breakfast Sandwich",Breakfast Sandwich,None,None,Sandwich built with pork and cheese. ,"Dairy, Eggs, Wheat",Contains,uber_eats
Frank and Egg with Cheese Breakfast Sandwich,Breakfast Sandwich,None,None,,"Dairy, Eggs, Wheat",Contains,uber_eats
Bacon and Egg with Cheese Breakfast Sandwich,Breakfast Sandwich,None,None,,"Dairy, Eggs, Wheat",Contains,uber_eats
BLT Breakfast Sandwich,Breakfast Sandwich,None,None,"Bacon, lettuce, and tomato. ",Wheat,Contains,uber_eats
Grilled Cheese Breakfast Sandwich,Breakfast Sandwich,None,None,Hot sandwich filled with cheese that has been pan cooked or grilled. ,"Dairy, Wheat",Contains,uber_eats
Cheese Burger,Sandwiches and Burgers,None,None,Grilled or fried patty with cheese on a bun.,"Dairy, Wheat",Contains,uber_eats
Cheese Frank,Sandwiches and Burgers,None,None,,Dairy,Contains,uber_eats
Double Cheese Burger,Sandwiches and Burgers,None,None,Grilled or fried patty with cheese on a bun.,"Dairy, Wheat",Contains,uber_eats
Turkey with Cheese Deluxe Sandwich,Sandwiches and Burgers,None,None,,"Dairy, Wheat",Contains,uber_eats
Ham Deluxe Sandwich,Sandwiches and Burgers,None,None,,Wheat,Contains,uber_eats
Salmon Sandwich,Sandwiches and Burgers,None,None,Subtle rich fish sandwich. ,"Fish, Wheat",Contains,uber_eats
Pork Chop Sandwich,Sandwiches and Burgers,None,None,Thick cut of meat from a pig typically cut from the spine.,Wheat,Contains,uber_eats
Fish Sandwich,Sandwiches and Burgers,None,None,"Sandwich made with a piece of cut fish that is either fried, baked, or grilled. ","Fish, Wheat",Contains,uber_eats
Liver Sandwich,Sandwiches and Burgers,None,None,Sandwich with liver meat typically made as a spread or a patty.,Wheat,Contains,uber_eats
Pig Ear Sandwich,Sandwiches and Burgers,None,None,,Wheat,Contains,uber_eats
Mac & Cheese,Sides,None,None,,Dairy,Contains,uber_eats
Hereford Filet Mignon,Picked for you,None,None,"Potato pave, haricot verts, caramalized onion bacon foam, and worcestershire blue butter.","Dairy, Onion",Contains,uber_eats
Alaskan Halibut,Picked for you,None,None,"lemongrass &amp; ginger tea crusted, cucumber zucchini ribbon salad, asparagus, honey stone ground vinaigrette, dandelion honey
",Fish,Contains,uber_eats
King Crab Cobb Salad,Picked for you,None,None,"plus king crab, avocado, quail eggs, bacon lardons, heirloom tomato, persian cukes, fried capers, mixed greens, green goddess dressing",Shellfish,Contains,uber_eats
Grilled King Salmon,Picked for you,None,None,"artichoke barigoule, baby carrots, pearl onions, local pintos, lardons, jus
",Fish,Contains,uber_eats
Lobster Tortellini ,Picked for you,None,None,"plus maine lobster, english peas, fennel shallot salad , grana, truffle and chive oils","Onion, Shellfish",Contains,uber_eats
Fritto Misto,Appetizers &amp; Salads,None,None,"Calamari, shrimp, pesce, parsley, sweet pepper, fennel, lemon, and green curry aioli.","Eggs, Shellfish",Contains,uber_eats
King Crab Cobb Salad,Appetizers &amp; Salads,None,None,"plus king crab, avocado, quail eggs, bacon lardons, heirloom tomato, persian cukes, fried capers, mixed greens, green goddess dressing",Shellfish,Contains,uber_eats
Heirloom and Eggplant Caprese ,Appetizers &amp; Salads,None,None,"plus heirloom tomato, coal roasted eggplant, burrata, pesto cetarese",Tree Nuts,Contains,uber_eats
Lobster Tortellini ,Appetizers &amp; Salads,None,None,"plus maine lobster, english peas, fennel shallot salad , grana, truffle and chive oils","Onion, Shellfish",Contains,uber_eats
Gulf Coast Red Snapper Crudo ,Appetizers &amp; Salads,None,None,"plus yukon gold causa, satsumas, indian finger chiles, pistachio vinaigrette",Tree Nuts,Contains,uber_eats
Smoked Halibut Chowder,Appetizers &amp; Salads,None,None,,Fish,Contains,uber_eats
"Ocean Salad ""Greek Style"" with Fried Feta",Appetizers &amp; Salads,None,None,"Crispy greens, roma tomatoes, red onion, and kalamata olives.",Onion,Contains,uber_eats
Bubblegum Roll,Sushi,None,None,"Tempura shrimp, tuna, cucumber, avocado, sriracha, and wasabi aioli.","Eggs, Fish, Shellfish",Contains,uber_eats
Soul Roll,Sushi,None,None,"Tempura fried alaskan king crab. Jalapeno, cream cheese, and carrots.","Dairy, Shellfish",Contains,uber_eats
Tempura Ocean,Sushi,None,None,"Tuna, salmon, sesame oil, and chives.","Fish, Sesame",Contains,uber_eats
DEE's Roll,Sushi,None,None,"bbq eel, tamago, red pepper, cucumber, green onion, avocado, eel sauce",Onion,Contains,uber_eats
Veggie Tempura Roll,Sushi,None,None,"bell pepper, shiitake, carrot, green onion, asparagus, sesame seed, ginger dressing","Onion, Sesame",Contains,uber_eats
Spicy Crab Salad Roll,Sushi,None,None,"tuna, crab, scallions, tempura, spicy mayo, eel sauce
","Fish, Shellfish",Contains,uber_eats
Smoked Salmon King Crab,Sushi,None,None,"Avocado, cucumber, and sambal aioli.","Eggs, Fish, Shellfish",Contains,uber_eats
Hereford Filet Mignon,Entrées,None,None,"Potato pave, haricot verts, caramalized onion bacon foam, and worcestershire blue butter.","Dairy, Onion",Contains,uber_eats
Grilled Main Lobster,Entrées,None,None,"1.5# maine lobster, oregon red dulce seaweed butter, kale &amp; toasted almonds","Dairy, Shellfish",Contains,uber_eats
G.B. Scallops,Entrées,None,None,"Red lentils and  barley, golden chanterelles, parsnip purée, and skordalia.",Wheat,Contains,uber_eats
Thai Green Curry Bouillabaisse,Entrées,None,None,"Lobster tail, gulf shrimp, mussels, clams, pesce, and pineapple jasmine rice.",Shellfish,Contains,uber_eats
Gulf Shrimp Al Ajillo,Entrées,None,None,"garlic, flat leaf parsley, lemon white wine, h.c. tomato chive risotto, griddled baguette","Garlic, Onion, Shellfish",Contains,uber_eats
Crispy Duck Breast,Entrées,None,None,"butter braised radishes, carrot sage puree, granny apple chips, red delicious orange gastrique
",Dairy,Contains,uber_eats
Grilled King Salmon,Entrées,None,None,"artichoke barigoule, baby carrots, pearl onions, local pintos, lardons, jus
",Fish,Contains,uber_eats
Alaskan Halibut,Entrées,None,None,"lemongrass &amp; ginger tea crusted, cucumber zucchini ribbon salad, asparagus, honey stone ground vinaigrette, dandelion honey
",Fish,Contains,uber_eats
Pan Seared Red Snapper,Entrées,None,None,"red lentil salad, avocado pomelo pomegranate salsa, green chick pea hummus
",Legumes,Contains,uber_eats
Gulf Grouper,Entrées,None,None,"agave tequila glazed sweet potatoes, hominy, epazote, fish bits, salsa verde
","Corn, Fish",Contains,uber_eats
Red Snapper (from Gulf of Mexico),Whole Fish,None,None,"hickory grilled, italian verde",Fish,Contains,uber_eats
Flounder(from Gulf of Mexico),Whole Fish,None,None,"southern cornmeal crusted, gribiche","Corn, Fish",Contains,uber_eats
Red Dragon ,Picked for you,None,None,"Spicy tuna tartare, tuna tataki, cucumber, scallions, sesame dressing. ","Fish, Sesame",Contains,uber_eats
Edamame,Picked for you,None,None,Steamed or grilled. Served with ponzu.,Soybeans,Contains,uber_eats
Spicy Hotate,Picked for you,None,None,"Spicy scallop, avocado, crab salad, tobiko, tempura flakes, eel sauce, sriracha.",Shellfish,Contains,uber_eats
Kadoma Tuna,Picked for you,None,None,"Spicy tuna tartare, tempura rice cake, avocado, jalapeno, tobiko, sesame seeds, eel sauce.","Fish, Sesame",Contains,uber_eats
Spiro Roll,Picked for you,None,None,"Spicy tuna tartare, sake, tempura asparagus, avocado, spicy aioli, chili powder.","Eggs, Fish",Contains,uber_eats
Miso Soup,Starters,None,None,,Soybeans,Contains,uber_eats
Chili Miso Soup,Starters,None,None,,Soybeans,Contains,uber_eats
Edamame,Starters,None,None,Steamed or grilled. Served with ponzu.,Soybeans,Contains,uber_eats
Rock Shrimp,Starters,None,None,Tempura fried shrimp tossed in a yuzu aoli.,Shellfish,Contains,uber_eats
Soft Shell Crab,Starters,None,None,,Shellfish,Contains,uber_eats
Agedashi Tofu,Starters,None,None,,Soybeans,Contains,uber_eats
Jinseviche,Cold Dishes,None,None,"Sake, tuna tataki, tako, ebi, mango, cucumber, red onion, cilantro, wakamezu.","Fish, Onion",Contains,uber_eats
Kadoma Tuna,Cold Dishes,None,None,"Spicy tuna tartare, tempura rice cake, avocado, jalapeno, tobiko, sesame seeds, eel sauce.","Fish, Sesame",Contains,uber_eats
Poké,Cold Dishes,None,None,"Tuna, avocado, cucumber, tomato, cilantro, scallions, spicy sesame, ponzu sauce, served on endive.","Fish, Sesame",Contains,uber_eats
Somatsu,Cold Dishes,None,None,"Tuna, avocado, asparagus, mint, yamagobo, cithai sauce, wrapped with cucumber.",Fish,Contains,uber_eats
Yellowtail Serrano,Cold Dishes,None,None,"Gluten free. Hamachi, serrano, cilantro, yuzu soy.",Soybeans,Contains,uber_eats
Maguro Ringo,Cold Dishes,None,None,"Maguro tossed in anchovy sauce. served with sliced honey crisp apples, and garnished with goat cheese.
","Dairy, Fish",Contains,uber_eats
Tebasaki Wings,Hot Dishes,None,None,Twice fried wings tossed in a savory sesame ginger sauce.,Sesame,Contains,uber_eats
Nikko,Hot Dishes,None,None,"Smoked Salmon, unagi, tamago, asparagus, avocado, cream cheese, tempura fried, topped with eel sauce.","Dairy, Fish",Contains,uber_eats
Hatsu,Sushi,None,None,"Beef, hot sesame, olive oil, ginger, avocado, cucumber scallions, cilantro, topped with Japanese bbq sauce and sriracha.",Sesame,Contains,uber_eats
Jarijari ,Sushi,None,None,"Tempura shrimp, kani, avocado, cucumber, yamagobo, tempura flakes, eel sauce.",Shellfish,Contains,uber_eats
Lobster ,Sushi,None,None,"Tempura lobster, masago, tempura asparagus, cucumber, avocado, eel sauce.",Shellfish,Contains,uber_eats
Sachihoko ,Sushi,None,None,"Tempura shrimp, kani, avocado, cucumber, yamagobo, unagi, tobiko, eel sauce.",Shellfish,Contains,uber_eats
Spicy Hotate,Sushi,None,None,"Spicy scallop, avocado, crab salad, tobiko, tempura flakes, eel sauce, sriracha.",Shellfish,Contains,uber_eats
Bubblegum ,Sushi,None,None,"Tempura shrimp, maguro, ebi, avocado, wasabi aioli, sriracha.","Eggs, Shellfish",Contains,uber_eats
Kiiro ,Sushi,None,None,"Salmon, avocado, cucumber, topped with octopus, squid, golden tobiko, was vice sauce.","Fish, Shellfish",Contains,uber_eats
Red Dragon ,Sushi,None,None,"Spicy tuna tartare, tuna tataki, cucumber, scallions, sesame dressing. ","Fish, Sesame",Contains,uber_eats
Red Spider ,Sushi,None,None,"Tempura soft shell crab, tobiko, cucumber, avocado, eel sauce.",Shellfish,Contains,uber_eats
Spiro Roll,Sushi,None,None,"Spicy tuna tartare, sake, tempura asparagus, avocado, spicy aioli, chili powder.","Eggs, Fish",Contains,uber_eats
Albacore,Nigiri / Sashimi,None,None,White tuna.,Fish,Contains,uber_eats
Ebi,Nigiri / Sashimi,None,None,Shrimp.,Shellfish,Contains,uber_eats
Ika,Nigiri / Sashimi,None,None,Squid.,Shellfish,Contains,uber_eats
Ikura,Nigiri / Sashimi,None,None,Salmon roe.,Fish,Contains,uber_eats
Kani,Nigiri / Sashimi,None,None,Crab.,Shellfish,Contains,uber_eats
Sake,Nigiri / Sashimi,None,None,Salmon.,Fish,Contains,uber_eats
Sake Kunsei,Nigiri / Sashimi,None,None,Smoked salmon.,Fish,Contains,uber_eats
Tako,Nigiri / Sashimi,None,None,Octopus.,Shellfish,Contains,uber_eats
Tobiko,Nigiri / Sashimi,None,None,Gluten-free. Flying fish roe.,Fish,Contains,uber_eats
Tuna Tataki,Nigiri / Sashimi,None,None,Seared tuna.,Fish,Contains,uber_eats
